"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1991-12-07 435.19 797.31 1905.73 1558.18
1991-12-10 434.3 805.66 1880.46 1559.05
1991-12-11 434.03 799.8 1850.57 1551.11
1991-12-12 433.81 795.55 1860.32 1543.59
1991-12-13 438.24 810.02 1889.79 1546.39
1991-12-14 441.6 819.35 1908.61 1558.34
1991-12-17 441.61 815.8 1918.26 1552.89
1991-12-18 439.69 813.12 1935.13 1560.93
1991-12-19 440.54 806.79 1928.84 1573.75
1991-12-20 439.44 799.43 1904 1561.77
1991-12-21 444.65 788.3 1863.66 1543.19
1991-12-24 455.89 784.06 1846.77 1539.62
1991-12-25 459.06 797.06 1920.85 1539.62
1991-12-26 459.06 797.06 1920.85 1539.62
1991-12-27 465.42 797.06 1947.28 1539.62
1991-12-28 467.4 808.49 1945.22 1563.59
1991-12-31 477.39 810.62 1969.2 1577.98
1992-01-01 479.63 834.99 1996.1 1577.98
1992-01-02 479.63 834.99 1996.1 1577.98
1992-01-03 479.84 834.91 1978.3 1601.88
1992-01-04 482.24 838.77 2001.35 1603.62
1992-01-07 480.85 835.04 2020.87 1603.32
1992-01-08 480.23 831.55 2010.88 1592.45
1992-01-09 481.03 826.3 2018.69 1578.73
1992-01-10 480.5 836.66 2073.21 1589.76
1992-01-11 477.61 829.84 2077.25 1615.71
1992-01-14 476.75 835.63 2062.38 1622.67
1992-01-15 483.78 844.45 2084.45 1628.53
1992-01-16 484.2 851.37 2118.16 1667.5
1992-01-17 481.27 852.96 2103.51 1666.34
1992-01-18 482.05 851.2 2103.24 1670.99
1992-01-21 479.17 854.32 2109.91 1677.17
1992-01-22 474.9 853.49 2112.25 1685.29
1992-01-23 481.22 846.34 2082.17 1680.1
1992-01-24 477.58 847.42 2079.2 1669.57
1992-01-25 478.18 842.37 2091.9 1664.77
1992-01-28 477.7 853.39 2113.78 1683.58
1992-01-29 477.73 857.28 2137.9 1683.08
1992-01-30 472.45 855.44 2125.51 1672.4
1992-01-31 473.94 856.91 2119.07 1680.91
1992-02-01 470.7 863.75 2120.8 1687.49
1992-02-04 471.68 859.93 2100.32 1689.01
1992-02-05 476.84 858.91 2099.74 1676.4
1992-02-06 477.02 855.6 2110.27 1686.62
1992-02-07 477.12 851.33 2104.42 1681.13
1992-02-08 474.07 845.66 2105.55 1685.52
1992-02-11 477.39 853.07 2110.01 1682.13
1992-02-12 477.43 852.63 2108.32 1683.55
1992-02-13 481.35 848.06 2105.54 1678.92
1992-02-14 477.41 847.86 2122.36 1681.39
1992-02-15 476.18 844.81 2109.51 1676.48
1992-02-18 476.18 853.86 2128.69 1681.07
1992-02-19 470.32 858.86 2162.78 1694.99
1992-02-20 471.35 852.43 2166.4 1687.79
1992-02-21 477.89 854.81 2206.9 1703.18
1992-02-22 475.08 854.38 2219.52 1717.63
1992-02-25 476.13 863.55 2235.52 1729.1
1992-02-26 474.16 859.04 2209.51 1722.3
1992-02-27 479.82 865.14 2240.93 1737.27
1992-02-28 478.12 864.21 2245.24 1749.9
1992-02-29 476.79 864.34 2243.27 1745.13
1992-03-03 476.66 861.74 2239.08 1747.87
1992-03-04 477.28 865.37 2243.72 1763.31
1992-03-05 473.24 862.97 2248.6 1759.05
1992-03-06 470.01 856.22 2231.58 1764.8
1992-03-07 467.71 854.45 2224.64 1745.95
1992-03-10 468.7 863.07 2235.25 1750.25
1992-03-11 470.71 871.56 2255.15 1750.54
1992-03-12 467.4 853.81 2225.91 1743.42
1992-03-13 467.25 843.81 2196.19 1727.5
1992-03-14 469.52 838.03 2202.19 1733.47
